,news
115,‘It feels like a second birth’: Sky Light’s Indian survivors return home with only the clothes on their backs
116,From Congress veteran to BJP candidate in 2 days: Pradyut Bordoloi makes BJP’s list of 88 candidates for Assam polls
117,"Family heist: How former teacher, wife and son ‘manipulated pension records to siphon crores into their accounts’"
118,"Life term for ‘mass’ conversion, displaying details of those who want to convert: What’s in Chhattisgarh’s new Bill?"
119,"‘EV was not being charged’: After deadly fire at Indore businessman’s house, his son raises some questions"
120,Inter-state sex racket busted; three arrested
121,Fast-track sessions court appointed for Zubeen Garg’s death case trial: CM Himanta Biswa Sarma
122,7 foreign nationals arrested by NIA | Possibly orchestrated: Ukraine on terror plot charge; India says legal processes being followed
123,Opposition’s ‘rare view’: Tharoor says Parliament should be used more for discussions than disruptions
124,"PM Modi speaks to West Asia leaders & Macron, condemns strikes on energy hubs"
125,"‘Snake venom didn’t fall in psychotropic drugs category under NDPS Act’: SC quashes FIR, proceedings against YouTuber Elvish Yadav in 2023 case"
126,Railways begins DPR survey for Gauge Conversion of Kangra Valley line
127,Covert ‘call centre’ busted in Srinagar cyber fraud crackdown; 7 held
128,Railways plans new terminals to ease rush at 151-year-old Jaipur Junction station
129,Kummanam Rajasekharan to contest from Aranmula as BJP releases second list for Kerala Assembly polls
130,India to extend Myanmar pulse deal for 5 years to secure ‘dal’ supplies amid global supply chain shocks
131,"Assam Assembly Elections 2026: BJP fields CM Himanta in Jalukbari, Pradyut Bordoloi in Dispur | Full list"
132,In his father’s footsteps: Now Pradyut Bordoloi’s son steps down as Assam Congress candidate
133,"‘In Rajasthan’s Shekhawati haveli towns, the race to save fading frescoes’"
134,"Gold Rate Today, March 19: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities"
135,"BJP announces candidates for bypolls in Goa, Karnataka, Nagaland, Tripura"
136,"Top News Headlines of March 19, 2026 | ‘Can’t feed even 20 people’: Catering services come to standstill with LPG shortage"
137,"Nagpur riots, one year on: Chargesheets filed in all FIRs except one naming VHP, Bajrang Dal members"
138,"Why are more locals entering Goa’s drug trade? Quick cash, peer pressure, and more"
139,"One fell unconscious, 2 went looking: Workers killed cleaning Chhattisgarh hospital’s septic tank"
140,"A decade on the run, undone by one digital slip: How a 2016 murder unravelled in Kerala, with AI help"
141,Choice of food to phone ownership: 33 questions Odisha residents will be asked from April 16
142,Nitish Kumar set for unopposed return as JD(U) chief
143,60% jump in NH-related complaints this fiscal: Gadkari in RS
144,"LS clears Demands for Grants for various ministries, Rs 53-lakh crore approved"
145,‘We could see the missiles coming’: A captain’s call that ended 2 weeks of fear
146,"American held by NIA for terror plot fought in Libya, Ukraine"
147,Former diplomat Navdeep Suri is guest at Explained.Live today
148,House panel recommends comprehensive performance review of all designated IoEs
149,"Cabinet approves 4-lane Barabanki-Bahraich highway in UP at a cost of Rs 6,969 crore"
150,"Gold Rate Today, March 19: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities"
151,"BJP announces candidates for bypolls in Goa, Karnataka, Nagaland, Tripura"
152,"Top News Headlines of March 19, 2026 | ‘Can’t feed even 20 people’: Catering services come to standstill with LPG shortage"
153,"Nagpur riots, one year on: Chargesheets filed in all FIRs except one naming VHP, Bajrang Dal members"
154,"Why are more locals entering Goa’s drug trade? Quick cash, peer pressure, and more"
155,"One fell unconscious, 2 went looking: Workers killed cleaning Chhattisgarh hospital’s septic tank"
156,"A decade on the run, undone by one digital slip: How a 2016 murder unravelled in Kerala, with AI help"
157,Choice of food to phone ownership: 33 questions Odisha residents will be asked from April 16
158,Nitish Kumar set for unopposed return as JD(U) chief
159,60% jump in NH-related complaints this fiscal: Gadkari in RS
160,"LS clears Demands for Grants for various ministries, Rs 53-lakh crore approved"
161,‘We could see the missiles coming’: A captain’s call that ended 2 weeks of fear
162,"American held by NIA for terror plot fought in Libya, Ukraine"
163,Former diplomat Navdeep Suri is guest at Explained.Live today
164,House panel recommends comprehensive performance review of all designated IoEs
165,"Cabinet approves 4-lane Barabanki-Bahraich highway in UP at a cost of Rs 6,969 crore"
166,"Rain, hail, and a 6°C dip: IMD issues 48-hour thunderstorm alert for Delhi-NCR and Haryana"
167,"Vijay rules out alliance speculation at Ramzan Iftar, signals TVK will go it alone"
168,X down for several users as site fails to load
169,"Provide breakfast too under PM-POSHAN, extend scheme to cover students up to Class 10: Panel"
170,Mirwaiz condemns killing of top Iran security official – ‘resilience reflects spirit of a true Muslim nation’
171,"Days after hospital fire, Odisha suspends four junior officials"
172,"Ahead of Navratras, security, searches stepped up around Vaishno Devi shrine"
173,"‘Mohabbat humare saath, shaadi Modi sahab ke saath’, Kharge on Deve Gowda as Rajya Sabha bids farewell to retiring members"
174,"Cabinet approves Rs 33,000 crore BHAVYA scheme to develop ‘100 plug-and-play industrial parks’"
175,"‘If Kejriwal is to be finished, there is only one way…’: In Goa after ‘agnipariksha’, AAP convener takes aim at Modi"
176,"Swift YouTube rise and a brutal end: Pregnant woman stabbed and strangled, husband is prime suspect"
177,On the table: Global media outreach proposal with IIS officers in foreign missions
178,Odisha Congress suspends 3 MLAs for cross-voting in Rajya Sabha polls
179,"PM Modi condemns attack on UAE, discusses navigation via Strait with President Al Nahyan"
180,"Ensuring steady flow, ramping up local production: Sitharaman on LPG in RS"
181,House panel urges Petroleum ministry to maintain 90-day crude oil stock
182,"Govts of Bengal, Tamil Nadu, Kerala govts stalling projects: Ashwini Vaishnaw"
183,"25 yrs, 5 billion meals: At Akshay Patra milestone, President Murmu says nourishment and education key to Viksit Bharat"
184,"Congress on verge of losing one of its tallest leaders in Assam, Pradyut Bordoloi shoots resignation letter to Kharge"
185,"Assam assembly election 2026 schedule: Polling on April 9, results on May 4; check details"
186,"‘Relentless pressure, repeated letters’: Stalin hits out at Centre as ASI approves excavation at 8 sites in Tamil Nadu"
187,"Kerala polls: Congress releases first list of 55, but no decision yet on MPs keen to join state Assembly"
188,"2 women in Muslim League list for Kerala polls — one a Hindu, other a campaigner for greater gender representation"
189,"After Lok Sabha setback, Badruddin Ajmal to contest Assam Assembly polls"
190,"Kerala Election Date 2026 Announced: Check Kerala Assembly Election Schedule, Polling Dates, Result Date"
191,"Tamil Nadu Assembly Election dates 2026: Voting and result dates, and other key details | Full schedule"
192,"Ukraine protests arrest of 6 nationals; seeks consular access, release"
193,"Released from 6-month NSA detention, Sonam Wangchuk opens door to compromise on Ladakh demands"
194,Former CJI Ranjan Gogoi’s Rajya Sabha term ends: A look back at his 6 years in Parliament
195,"Left in the cold, a BJP ally in Assam decides it has had enough"
196,"Parliamentary panel recommends overworked bureaucrats get mental health support, ‘seva bhav’ training"
197,"Odisha ICU fire toll rises to 12, Opposition demands Health Minister’s resignation"
198,"‘I can shoot with both hands’: Encounter after Bihar gangster’s threat to police goes viral; constable, 2 suspects killed"
199,"400 killed in Pak strike on Kabul hospital, India slams ‘massacre being dressed up as military op’"
200,"Congress on verge of losing one of its tallest leaders in Assam, Pradyut Bordoloi shoots resignation letter to Kharge"
201,"Assam assembly election 2026 schedule: Polling on April 9, results on May 4; check details"
202,"‘Relentless pressure, repeated letters’: Stalin hits out at Centre as ASI approves excavation at 8 sites in Tamil Nadu"
203,"Kerala polls: Congress releases first list of 55, but no decision yet on MPs keen to join state Assembly"
204,"2 women in Muslim League list for Kerala polls — one a Hindu, other a campaigner for greater gender representation"
205,"After Lok Sabha setback, Badruddin Ajmal to contest Assam Assembly polls"
206,"Kerala Election Date 2026 Announced: Check Kerala Assembly Election Schedule, Polling Dates, Result Date"
207,"Tamil Nadu Assembly Election dates 2026: Voting and result dates, and other key details | Full schedule"
208,"Ukraine protests arrest of 6 nationals; seeks consular access, release"
209,"Released from 6-month NSA detention, Sonam Wangchuk opens door to compromise on Ladakh demands"
210,Former CJI Ranjan Gogoi’s Rajya Sabha term ends: A look back at his 6 years in Parliament
211,"Left in the cold, a BJP ally in Assam decides it has had enough"
212,"Parliamentary panel recommends overworked bureaucrats get mental health support, ‘seva bhav’ training"
213,"Odisha ICU fire toll rises to 12, Opposition demands Health Minister’s resignation"
214,"‘I can shoot with both hands’: Encounter after Bihar gangster’s threat to police goes viral; constable, 2 suspects killed"
215,"400 killed in Pak strike on Kabul hospital, India slams ‘massacre being dressed up as military op’"
216,"Suspension of 8 Lok Sabha MPs revoked, Congress says: ‘Lakshman Rekha must include dignity of LoP’"
217,India slams Pakistan over air-bombings against Afghanistan in UNGA
218,"Indian student killed in Canada was ‘assaulted by 10-12 boys, run over by vehicle’"
219,"Gold Rate Today, March 17: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities"
220,"Theft at Kerala’s Kowdiar Palace: Royal family thought jewellery would be found within palace, say police"
221,"Litigant brings ‘miscarried foetus’ to High Court, judges warn against bid to ‘secure undue sympathy’"
222,Two Uttarakhand IPS officers move High Court over ‘mala fide’ forced deputation to lower rank
223,Suspension of all 8 Opposition MPs to be revoked today
224,‘State secy sidelined me to ensure his wife gets seat’: Stir in CPM’s Kannur bastion as senior leader quits party
225,"Kerala churn begins: Denied ticket, CPI MLA joins BJP, claims seats being ‘sold’"
226,No blanket arrangement with Iran on ship movement: Jaishankar
227,TMC walks out of Rajya Sabha to protest against transfer of top Bengal officers hours after poll announcement
228,"‘He was to be discharged today’: Mourning, panic and chaos at Cuttack hospital as smoke clears after ICU fire"
229,India LPG Gas Cylinder Shortage News Live Updates: LPG carrier Nanda Devi returns to India via Strait of Hormuz
230,Odisha Hospital Fire Live Updates: PM Modi announces Rs 2 lakh ex gratia for kin of deceased after 10 killed in blaze at SCB Medical College
231,E-KYC now mandatory for all domestic LPG consumers amid supply shortage
232,"Strong winds, heavy rain as Nor’wester wreaks havoc in Odisha districts, 2 dead"
233,"Snowed in at 14,000 feet: Schoolchildren among 100 stranded at J-K mountain passes, rescued"
234,"With 2-vote win in local polls, grandson of iconic Goan Jack de Sequeira makes a splash on electoral debut"
235,"High honour, deep divide: When Tamil poet Vairamuthu won the Jnanpith Award"
236,‘He wasn’t meant to sail that day’: Last-minute voyage ends in Mumbai seafarer’s death in Iraq tanker attack
237,"Dodging tigers and the law: In rural Madhya Pradesh, LPG shortage drives many into forests"
238,At least 10 killed as fire breaks out at Odisha’s SCB Medical College
239,34 crore LPG consumers: Average household use half cylinder per month
240,Speaker Om Birla urges floor leaders to ensure dignity of House is upheld
241,"Jaishankar speaks with his Saudi Arabia, UAE counterparts to discuss situation"
242,‘They are young’: J-K’s ruling party seeks release of those held during protest against Khamenei killing
243,"‘Will search out and remove infiltrators’: In Assam, Amit Shah reiterates pitch against ‘illegal immigration’"
244,"Rajya Sabha polls: Odisha Cong MLAs ‘offered bribe, blank cheque’ to cross-vote, 2 held"
245,Pinarayi Vijayan to seek 3rd CM term as CPM fields 56 sitting MLAs for April 9 Kerala election
246,Teacher suspended for ‘mimicking’ PM Modi says he ‘just wanted to make people laugh’
247,"Bihar man uses AI to create ‘objectionable’ images of Nitish Kumar’s son and MLA Maithili Thakur, arrested"
248,"RSS says nothing wrong with expression of grief over Khamenei’s death, reposes faith in govt to overcome West Asia crisis"
249,BJD steps up efforts to keep its flock united ahead of crucial Rajya Sabha polls in Odisha
250,"With 2-vote win in local polls, grandson of iconic Goan Jack de Sequeira makes a splash on electoral debut"
251,"High honour, deep divide: When Tamil poet Vairamuthu won the Jnanpith Award"
252,‘He wasn’t meant to sail that day’: Last-minute voyage ends in Mumbai seafarer’s death in Iraq tanker attack
253,"Dodging tigers and the law: In rural Madhya Pradesh, LPG shortage drives many into forests"
254,At least 10 killed as fire breaks out at Odisha’s SCB Medical College
255,34 crore LPG consumers: Average household use half cylinder per month
256,Speaker Om Birla urges floor leaders to ensure dignity of House is upheld
257,"Jaishankar speaks with his Saudi Arabia, UAE counterparts to discuss situation"
258,‘They are young’: J-K’s ruling party seeks release of those held during protest against Khamenei killing
259,"‘Will search out and remove infiltrators’: In Assam, Amit Shah reiterates pitch against ‘illegal immigration’"
260,"Rajya Sabha polls: Odisha Cong MLAs ‘offered bribe, blank cheque’ to cross-vote, 2 held"
261,Pinarayi Vijayan to seek 3rd CM term as CPM fields 56 sitting MLAs for April 9 Kerala election
262,Teacher suspended for ‘mimicking’ PM Modi says he ‘just wanted to make people laugh’
263,"Bihar man uses AI to create ‘objectionable’ images of Nitish Kumar’s son and MLA Maithili Thakur, arrested"
264,"RSS says nothing wrong with expression of grief over Khamenei’s death, reposes faith in govt to overcome West Asia crisis"
265,BJD steps up efforts to keep its flock united ahead of crucial Rajya Sabha polls in Odisha
266,"Four states and 1 UT to go for polls: Check West Bengal, Kerala, Tamil Nadu, Assam, Puducherry Assembly election dates here"
267,"In Bihar’s Saran, teen girl ‘pushed into a well’ by man she befriended on Instagram"
268,"Election Date 2026 Announcement Today Live Updates: CPI(M), CPI release first list of candidates for Kerala Assembly polls"
269,Pakistani terrorist killed as army foils infiltration bid in J&K
270,Congress continues balancing act with allies in second list for Assam polls
271,The right to pray: Why HC had to step in for a group in UP village to offer namaz
272,SIT formed to probe attempt on Farooq Abdullah’s life
273,"Sonam Wangchuk freed, but Ladakh’s March 16 shutdown will go ahead as planned. Here’s why"
274,Long queues lead to scuffle as LPG anxiety continues in Punjab
275,"BRICS members involved in conflict, difficult to forge consensus: MEA"
276,Security expert’s book traces roots of terror in South Asia
277,India condemns Pakistan air strikes against Afghanistan: ‘Kabul’s sovereignty must be respected’
278,"Congress, BJP slam Left govt’s ‘U-turn’ on Sabarimala: Election gimmick to ‘deceive the faithful’"
279,Chhattisgarh man died by suicide after ‘threatening call from police’ — then came a twist
280,Jharkhand reviews VIP flight contract after fatal air ambulance crash
281,Dharali floods: Uttarakhand govt initiates rehabilitation of 115 affected families
282,"Iran war: Amid gas shortage, India seeks safe passage for 22 vessels stranded near Strait of Hormuz"
283,"Adequate stock of fertilisers for kharif season, says Ashwini Vaishnaw"
284,"Why Panun Kashmir, prominent Kashmiri Pandit organisation, expelled its chairman"
285,Mass copying through a microphone? Video leads to lecturer’s suspension and shifting of HP board exam centre in Kangra
286,Activist Sonam Wangchuk freed as Centre revokes detention after 6 months
287,India’s navigation satellite system suffers major setback: 1 of 4 operational IRNSS satellites fails
288,‘Benefit of doubt’: Court acquits three in 2020 killing of J&K BJP leader Waseem Bari
289,A silent world shattered: How scuffle during T20 World Cup final led to death of hearing-impaired teen in Bihar
290,"LPG crisis fuels uproar in Lok Sabha, adjourned twice"
291,"BAC meet: Opp seeks discussion on West Asia crisis, govt  says it may consider"
292,"El Niño likely to emerge post-July, say international weather models"
293,"As BRICS chair, condemn attacks on Iran: Tehran’s message to Delhi"
294,Will try our best: Iran envoy on safe passage for India-bound fuel ships
295,"‘I’m repaying a debt’: Modi hands over land rights to 28,000 tea workers in historic Assam move"
296,BJP-backed panel sweeps Panaji civic polls; Utpal Parrikar’s ‘Ami Panjekar’ falls short
297,Centre sets conditions for states to receive Jal Jeevan Mission funds
298,"2 Indians killed, 10 injured as downed drone falls in Oman city"
299,"A Bihar youth became toast of the town for clearing UPSC. Now, the truth is out – and he is missing"
300,"West Asia conflict: Lakhs of workers in Gulf, how Odisha govt is stepping up efforts to bring them back"
301,Hostels and canteens brace for LPG shortage at some of India’s higher education hubs
302,"Centre orders probe into Farooq Abdullah attack, questions raised over ‘lapses’, before and after"
303,"LPG shortage hits eateries, vendors across India as West Asia conflict disrupts supply"
304,Fuel crisis & US ‘influence’: Govt-Opposition lock horns again in Lok Sabha
305,"Eight decades after Netaji disappeared, his daughter backs plea in SC for return of ashes"
306,NCTE wants school education dept’s presence in key panel
307,Bid on Farooq Abdullah life a matter of great concern: Nadda in Rajya Sabha
308,Will urge Centre to increase limit of non-domestic LPG cylinders allocated to state: Kerala govt
309,India co-sponsors resolution at UNSC condemning Iran’s attacks on Gulf nations
310,"Some people trying to create panic, spread rumours over LPG: PM"
311,"Modi speaks with Iran’s Pezeshkian: ‘Deep concern over escalation, loss of lives’"
312,"IGL assures uninterrupted PNG, CNG supply via SMS, WhatsApp amid Middle East conflict"
313,‘Burden on states’: Congress slams VB-G RAM G
314,"Rules apply to every MP, no one has privilege to speak any time on any thing: Birla returns to LS"
315,"‘I am not afraid’: After arson and vandalism in Garo Hills town, Meghalaya CM Sangma, his wife visit residents"
316,"‘At end of our tether’: Groups call for shutdown, protest in Ladakh amid impasse in talks with Centre"
317,Neighbours of Farooq Abdullah attacker talk of a man struggling with business setbacks
318,ED attaches assets worth Rs 581 cr belonging to Anil Ambani-led Reliance firms
319,Delhi in talks with Tehran to let India-bound fuel ships pass
320,"LPG shortage: In Kota, where hostels and messes cater to 1 lakh students, some switch to firewood"
321,"‘No shortage of petrol, diesel’: Petroleum Minister Hardeep Puri says panic on LPG driven by consumer anxiety"
322,"Amid gunfights and abductions, tensions spike in Manipur’s Ukhrul as release of 21 is followed by discovery of 2 bodies"
323,Parliamentary panel sounds alarm as urban development budget hits five-year low
324,"Raghav Chadha questions ‘loot’ on prepaid recharge plans, says ‘mobile no longer a luxury’"
325,India co-sponsors resolution at UNSC condemning Iran’s attacks on Gulf nations
326,"Some people trying to create panic, spread rumours over LPG: PM"
327,"Modi speaks with Iran’s Pezeshkian: ‘Deep concern over escalation, loss of lives’"
328,"IGL assures uninterrupted PNG, CNG supply via SMS, WhatsApp amid Middle East conflict"
329,‘Burden on states’: Congress slams VB-G RAM G
330,"Rules apply to every MP, no one has privilege to speak any time on any thing: Birla returns to LS"
331,"‘I am not afraid’: After arson and vandalism in Garo Hills town, Meghalaya CM Sangma, his wife visit residents"
332,"‘At end of our tether’: Groups call for shutdown, protest in Ladakh amid impasse in talks with Centre"
333,Neighbours of Farooq Abdullah attacker talk of a man struggling with business setbacks
334,ED attaches assets worth Rs 581 cr belonging to Anil Ambani-led Reliance firms
335,Delhi in talks with Tehran to let India-bound fuel ships pass
336,"LPG shortage: In Kota, where hostels and messes cater to 1 lakh students, some switch to firewood"
337,"‘No shortage of petrol, diesel’: Petroleum Minister Hardeep Puri says panic on LPG driven by consumer anxiety"
338,"Amid gunfights and abductions, tensions spike in Manipur’s Ukhrul as release of 21 is followed by discovery of 2 bodies"
339,Parliamentary panel sounds alarm as urban development budget hits five-year low
340,"Raghav Chadha questions ‘loot’ on prepaid recharge plans, says ‘mobile no longer a luxury’"
341,"As concerns over LPG shortages grow rapidly, Govt declares war on ‘misinformation’"
342,Jharkhand HC orders transfer of Ranchi ‘assault’ case against ED officials to CBI
343,"‘Minister will decide when I speak’: Denied chance in Lok Sabha, Rahul Gandhi says ‘energy security compromised’"
